,Fecha,Hora,Producto,Accion,Modulo,Usuario,Host
0,05/05/2022,8:42:45,adskflex,OUT,64801INVPROSA_F,UPM,upm00243
1,05/05/2022,8:42:45,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00243
2,05/05/2022,8:43:12,adskflex,OUT,64801INVPROSA_F,upm,etsidi00059
3,05/05/2022,8:43:12,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00059
4,05/05/2022,8:44:36,adskflex,OUT,64300ACD_F,UPM,upm00265
5,05/05/2022,8:44:36,adskflex,OUT,87545ACD_2022_0F,UPM,upm00265
6,05/05/2022,8:44:48,adskflex,IN,87545ACD_2022_0F,UPM,upm00265
7,05/05/2022,8:44:48,adskflex,IN,64300ACD_F,UPM,upm00265
8,05/05/2022,10:01:09,adskflex,OUT,64801INVPROSA_F,upm,etsidi00062
9,05/05/2022,10:01:09,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00062
10,05/05/2022,10:04:12,adskflex,OUT,64801INVPROSA_F,upm,etsidi00062
11,05/05/2022,10:04:12,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00062
12,05/05/2022,10:16:04,adskflex,OUT,64801INVPROSA_F,upm,etsidi00064
13,05/05/2022,10:16:04,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00064
14,05/05/2022,10:20:20,adskflex,OUT,64900CIV3D_F,UPM,upm00314
15,05/05/2022,10:20:20,adskflex,OUT,87556CIV3D_2022_0F,UPM,upm00314
16,05/05/2022,10:20:30,adskflex,IN,87556CIV3D_2022_0F,UPM,upm00314
17,05/05/2022,10:20:30,adskflex,IN,64900CIV3D_F,UPM,upm00314
18,05/05/2022,10:20:53,adskflex,OUT,64300ACD_F,UPM,upm00314
19,05/05/2022,10:20:53,adskflex,OUT,87545ACD_2022_0F,UPM,upm00314
20,05/05/2022,10:47:26,adskflex,IN,87545ACD_2022_0F,UPM,upm00314
21,05/05/2022,10:47:26,adskflex,IN,64300ACD_F,UPM,upm00314
22,05/05/2022,10:50:54,adskflex,OUT,64300ACD_F,UPM,upm00314
23,05/05/2022,10:50:54,adskflex,OUT,87545ACD_2022_0F,UPM,upm00314
24,05/05/2022,11:06:39,adskflex,IN,87545ACD_2022_0F,UPM,upm00314
25,05/05/2022,11:06:39,adskflex,IN,64300ACD_F,UPM,upm00314
26,05/05/2022,11:33:41,adskflex,OUT,64801INVPROSA_F,UPM,upm00360
27,05/05/2022,11:33:41,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00360
28,05/05/2022,11:33:41,adskflex,OUT,64801INVPROSA_F,UPM,upm00360
29,05/05/2022,11:33:41,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00360
30,05/05/2022,12:05:19,adskflex,IN,64801INVPROSA_F,upm,etsidi00062
31,05/05/2022,12:05:19,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00062
32,05/05/2022,12:19:15,adskflex,IN,64801INVPROSA_F,upm,etsidi00064
33,05/05/2022,12:19:15,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00064
34,05/05/2022,12:24:50,adskflex,OUT,64300ACD_F,UPM,upm00383
35,05/05/2022,12:24:50,adskflex,OUT,87545ACD_2022_0F,UPM,upm00383
36,05/05/2022,12:24:54,adskflex,OUT,64300ACD_F,UPM,upm00001
37,05/05/2022,12:24:54,adskflex,OUT,87545ACD_2022_0F,UPM,upm00001
38,05/05/2022,12:25:26,adskflex,OUT,64900CIV3D_F,UPM,upm00383
